result,table,timestamp,co2_air_quality,dewPoint_air_quality,humidity_air_quality,temperature_air_quality,voc_air_quality,leak_tamper_leak,leak_temp_leak,leak_water_leak,plug_energy_plug,plug_overCurrent_plug,plug_overLoad_plug,plug_power_plug,smoke_tamper_smoke,smoke_temp_smoke,vib_alarm_vibration,vib_ax_vibration,vib_ay_vibration,vib_az_vibration,vib_lux_vibration,vib_seismic_vibration,vib_tamper_vibration,vib_temp_vibration
_result,0,2026-01-17T13:50:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:51:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:52:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:53:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:54:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:55:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:56:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:57:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:58:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T13:59:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T14:00:00Z,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T14:01:00Z,null,null,null,null,null,null,null,null,10.82,0,0,0,null,null,0,0,0,0,9,0,0,22.1
_result,0,2026-01-17T14:02:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:03:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:04:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
